text,gold_label,pred_intent,correct,gold_order_status,pred_order_status,order_status_correct,gold_cancel_scope,pred_cancel_scope,cancel_scope_correct,confidence,latency_ms,error,bond_code,direction,price,amount,settle_date,source,raw_output
你好,chat,chat,1,,,,,,,0.95,4071,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
今天天气什么情况,chat,chat,1,,,,,,,0.99,3165,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.99}"
hi,chat,chat,1,,,,,,,0.99,4136,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.99}"
210210行情,chat,chat,1,,,,,,,0.92,4566,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}"
你是谁,chat,chat,1,,,,,,,0.98,4055,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
价格太差了,chat,chat,1,,,,,,,0.98,2731,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
介绍一下自己,chat,chat,1,,,,,,,0.95,2178,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你用了多少加减点,chat,chat,1,,,,,,,0.95,2103,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
做一个自我介绍,chat,chat,1,,,,,,,0.92,1930,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}"
你们手续费是多少,chat,chat,1,,,,,,,0.97,1493,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.97}"
bid,chat,chat,1,,,,,,,0.92,1937,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}"
你们pb吃多少点,chat,chat,1,,,,,,,0.95,1906,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你给推荐一下,chat,chat,1,,,,,,,0.95,1814,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
用的是什么策略,chat,chat,1,,,,,,,0.95,1570,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你们有些什么债券,chat,chat,1,,,,,,,0.95,2389,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你们上游叫什么,chat,chat,1,,,,,,,0.98,2514,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
债券5要素是指哪些,chat,chat,1,,,,,,,0.95,5301,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
怎么联系你们,chat,chat,1,,,,,,,0.88,5816,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.88}"
今天行情如何,chat,chat,1,,,,,,,0.95,2561,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你们内部系统叫什么,chat,chat,1,,,,,,,0.95,1493,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
那你给我一份市场报告,chat,chat,1,,,,,,,0.95,2033,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
底层架构是java还是c+,chat,chat,1,,,,,,,0.98,2134,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
25国债,chat,chat,1,,,,,,,0.87,2909,,25国债,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":""25国债"",""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.87}"
我问的是债券 210210 行情,chat,chat,1,,,,,,,0.95,2125,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
19793,chat,chat,1,,,,,,,0.85,5569,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.85}"
我们成交后，去外汇中心结算吗,chat,chat,1,,,,,,,0.95,2154,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
价格没有,chat,chat,1,,,,,,,0.95,3563,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
bid是什么意思,chat,chat,1,,,,,,,0.95,1797,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
价格合适就行,chat,bond_inquiry,0,,,,,,,0.6,4825,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.60}"
清算时间是什么格式,chat,chat,1,,,,,,,0.95,5617,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
市价,chat,chat,1,,,,,,,0.95,2497,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
我用净价还是收益率,chat,chat,1,,,,,,,0.97,3220,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.97}"
2026/3/1 0:00,chat,chat,1,,,,,,,0.55,6906,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.55}"
报价,chat,chat,1,,,,,,,0.9,4952,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.90}"
询价,chat,chat,1,,,,,,,0.9,2332,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.90}"
你需要什么样格式的报价,chat,chat,1,,,,,,,0.95,2298,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
你们那个券最活跃,chat,chat,1,,,,,,,0.85,3560,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.85}"
你把你们有的债券报价整理一份发我,chat,chat,1,,,,,,,0.94,2054,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.94}"
怎么没有价格,chat,chat,1,,,,,,,0.96,2394,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.96}"
还没整理好吗,chat,chat,1,,,,,,,0.95,1820,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
报价板官方网址,chat,chat,1,,,,,,,0.96,2149,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.96}"
晴天，我出门打伞是为什么,chat,chat,1,,,,,,,0.95,1649,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
有什么债券可以报价,chat,chat,1,,,,,,,0.93,1858,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.93}"
210210 bid 看看行情,chat,chat,1,,,,,,,0.85,2850,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.85}"
210210 bid 5k帮我成交,chat,bond_inquiry,0,,,,,,,0.94,2370,,210210,bid,,5k,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""210210"",""direction"":""bid"",""price"":null,""amount"":""5k"",""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.94}"
帮我报个价,chat,chat,1,,,,,,,0.95,3136,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
利率债怎么交易,chat,chat,1,,,,,,,0.95,4238,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
uat 204的ws服务我这边可以关一下吗,chat,chat,1,,,,,,,0.92,3002,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}"
国债怎么交易,chat,chat,1,,,,,,,0.95,5450,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
Bid 220007.IB 2D  1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.96,5307,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.96}"
203D Bid 220007.IB   1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.96,5885,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.96}"
Bid 220007.IB  203D 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.95,2151,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
Bid 220007.IB  3M 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.96,3566,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.96}"
Bid 220007.IB  6.3Y 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.98,5014,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
Bid 220007.IB   1.9003    4000万   1.213Y 今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,2287,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
Bid 220007.IB   4000万   1.213年 今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,6949,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":null,""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}"
Bid 220007.IB   4000万   1.231Y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.97,11909,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":null,""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.97}"
Bid 220007.IB   4000万   1.231y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.93,2989,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":null,""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.93}"
爱的赛  Bid 220007.IB   4000万   1.231y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.98,5557,,220007.IB,bid,1.231y,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.231y"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
2.272%  ofr 2500006 1E 明天+0,bond_inquiry,bond_inquiry,1,,,,,,,0.98,3569,,2500006,ofr,2.27%,1E,明天+0,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""2500006"",""direction"":""ofr"",""price"":""2.272%"",""amount"":""1E"",""settle_date"":""明天+0"",""order_status"":null,""cancel_scope"":null},""confidence"":0.98}"
2.272%  ofr 250006 1E 明天+0,bond_inquiry,bond_inquiry,1,,,,,,,0.97,5613,,250006,ofr,2.27%,1E,明天+0,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""250006"",""direction"":""ofr"",""price"":""2.272%"",""amount"":""1E"",""settle_date"":""明天+0"",""order_status"":null,""cancel_scope"":null},""confidence"":0.97}"
ref,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,1884,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}"
ref all,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,1700,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}"
撤单,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.97,2363,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.97}"
all ref,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,1811,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}"
ref 债券,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,2229,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}"
ref 方向,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,1499,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}"
ref 价格,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,2645,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}"
ref 量,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,1713,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}"
ref 清算时间,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,2525,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}"
帮我撤单,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.97,1887,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.97}"
ref 清算时间+量,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,2495,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}"
ref 清算时间+量+方向,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.97,1887,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.97}"
ref 清算时间+量+方向+价格,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.97,2217,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.97}"
订单,bond_query,bond_query,1,all,all,1,,,,0.82,3229,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.82}"
我的订单,bond_query,bond_query,1,all,all,1,,,,0.98,1667,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.98}"
订单怎么样,bond_query,bond_query,1,all,all,1,,,,0.85,3403,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.85}"
我的报单,bond_query,bond_query,1,all,all,1,,,,0.95,2071,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}"
我的报价,bond_query,bond_query,1,all,all,1,,,,0.96,2697,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.96}"
我今天有什么单,bond_query,bond_query,1,all,all,1,,,,0.94,2147,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.94}"
今日订单成交情况,bond_query,bond_query,1,completed,all,0,,,,0.95,2292,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}"
看看今日的全部操作,bond_query,bond_query,1,all,all,1,,,,0.85,4245,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.85}"
查询今日操作记录,bond_query,bond_query,1,all,all,1,,,,0.92,2919,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.92}"
查询订单,bond_query,bond_query,1,all,all,1,,,,0.95,2866,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}"
订单状态,bond_query,bond_query,1,all,all,1,,,,0.92,3649,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.92}"
我的订单到哪一步了,bond_query,bond_query,1,all,all,1,,,,0.96,4112,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.96}"
成了吗,bond_query,bond_query,1,all,all,1,,,,0.92,2001,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.92}"
撤了吗,bond_query,bond_query,1,all,all,1,,,,0.88,3398,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.88}"
